date,best_family,lambda_L,lambda_U,lambda_L_t,lambda_L_cl,AIC_best,AIC_gauss,regime
1995-05-31,Frank,0.0,0.0,0.09664545004570355,0.04992172450169295,0.5865731692125511,1.6199345938714025,Tail-dependent
1995-06-30,Frank,0.0,0.0,0.10205206171386608,0.053496701705030916,0.43436681646059716,1.6116112319916815,Tail-dependent
1995-07-31,Clayton,0.05717198093598654,0.0,0.11422223330558749,0.05717198093598654,0.4287841725390278,1.747698514961424,Tail-dependent
1995-08-31,Clayton,0.15237131553890065,0.0,0.056012339843263204,0.15237131553890065,-1.5803530603702436,0.2425581610840999,Tail-dependent
1995-09-30,Clayton,0.24284479079317223,0.0,0.0,0.24284479079317223,-4.289167063443312,-2.2501592082081947,Tail-dependent
1995-10-31,Clayton,0.2683341084207178,0.0,0.0,0.2683341084207178,-5.218194643811163,-3.145940856014766,Tail-dependent
1995-11-30,Clayton,0.27461555782611263,0.0,0.0,0.27461555782611263,-5.4792162193619145,-3.258097445086194,Tail-dependent
1995-12-31,Clayton,0.28315239101805234,0.0,0.0,0.28315239101805234,-5.80330219159142,-3.439629823955654,Tail-dependent
1996-01-31,Clayton,0.2829159691918713,0.0,0.0,0.2829159691918713,-5.77905456918627,-3.62418417529734,Tail-dependent
1996-02-29,Clayton,0.3046371778405118,0.0,0.0,0.3046371778405118,-6.4945887715928805,-5.133958536085649,Tail-dependent
1996-03-31,Clayton,0.29794086340909165,0.0,0.0,0.29794086340909165,-6.344829567160803,-4.654102981461876,Tail-dependent
1996-04-30,Clayton,0.30499523109350174,0.0,0.0,0.30499523109350174,-6.601780044702277,-4.872462834820361,Tail-dependent
1996-05-31,Clayton,0.29930892781498686,0.0,0.0,0.29930892781498686,-6.396798742322517,-4.6857509243878335,Tail-dependent
1996-06-30,Clayton,0.3053967089598957,0.0,1.0773712362160676e-09,0.3053967089598957,-6.604197192629991,-4.2818719692649765,Tail-dependent
1996-07-31,Clayton,0.41111226977148707,0.0,0.0652421716210012,0.41111226977148707,-11.54583415405277,-7.076289941571291,Tail-dependent
1996-08-31,Clayton,0.42252917951901553,0.0,0.08431973374191276,0.42252917951901553,-12.149172262715522,-7.946338926663421,Tail-dependent
1996-09-30,Clayton,0.43395643011899726,0.0,0.11397225039693495,0.43395643011899726,-12.779472219399315,-8.677383369797374,Tail-dependent
1996-10-31,Clayton,0.4297512485329078,0.0,0.1078956369804948,0.4297512485329078,-12.527545248512496,-8.47693077058087,Tail-dependent
1996-11-30,Clayton,0.41381664445640576,0.0,0.21573807210845378,0.41381664445640576,-11.484729972754284,-10.059720100159584,Tail-dependent
1996-12-31,Clayton,0.38603938275567595,0.0,0.2039343252703449,0.38603938275567595,-10.03046236845374,-8.350211603739771,Tail-dependent
1997-01-31,Clayton,0.37348036832518783,0.0,0.20223699137556453,0.37348036832518783,-9.50814757954707,-7.655757421196114,Tail-dependent
1997-02-28,Clayton,0.37077592299830614,0.0,0.19852002802745622,0.37077592299830614,-9.473453498582824,-7.428178736216799,Tail-dependent
1997-03-31,Clayton,0.2912634600613376,0.0,0.15840628542817264,0.2912634600613376,-6.1049941902725635,-5.138845387863323,Tail-dependent
1997-04-30,Clayton,0.30295673960906183,0.0,0.156441277442596,0.30295673960906183,-6.53122677696769,-5.573246747753344,Tail-dependent
1997-05-31,Clayton,0.23797954657897152,0.0,0.21401021912890567,0.23797954657897152,-4.010033094858718,-2.3930180076771927,Tail-dependent
1997-06-30,Clayton,0.2610544520105069,0.0,0.21448126330103337,0.2610544520105069,-4.7028531477813615,-2.7461359286845832,Tail-dependent
1997-07-31,Clayton,0.28118155563308905,0.0,0.21868476584858015,0.28118155563308905,-5.321610803675029,-3.6375045949489895,Tail-dependent
1997-08-31,Clayton,0.33879222114200674,0.0,0.23183098852972064,0.33879222114200674,-7.673617130008763,-5.163574056380039,Tail-dependent
1997-09-30,Clayton,0.33746966215146484,0.0,0.22043573176130868,0.33746966215146484,-7.687854399502285,-4.884858403958203,Tail-dependent
1997-10-31,Clayton,0.31377280723964657,0.0,0.18937130857828705,0.31377280723964657,-6.811655426343799,-4.568043793941236,Tail-dependent
1997-11-30,Clayton,0.31499719092524786,0.0,0.19279464890340345,0.31499719092524786,-6.8570620195505505,-4.56924101898049,Tail-dependent
1997-12-31,Clayton,0.31265539009569615,0.0,0.1826964792225165,0.31265539009569615,-6.804442348059464,-4.404968874838618,Tail-dependent
1998-01-31,Clayton,0.31118737247088896,0.0,0.17905295849227917,0.31118737247088896,-6.782381862029338,-4.290901597380066,Tail-dependent
1998-02-28,Clayton,0.3105039992102334,0.0,0.1370242160222099,0.3105039992102334,-6.773491904543873,-4.1359517571105275,Tail-dependent
1998-03-31,Clayton,0.33255271488402366,0.0,0.15989538114390256,0.33255271488402366,-7.629301073464891,-5.380379953163135,Tail-dependent
1998-04-30,Clayton,0.3386196410772156,0.0,0.18977449839552843,0.3386196410772156,-7.8049456596447655,-5.906590357554663,Tail-dependent
1998-05-31,Clayton,0.32746358756991023,0.0,0.18131546291247988,0.32746358756991023,-7.332997555190184,-5.637873259626421,Tail-dependent
1998-06-30,Clayton,0.3416708165611837,0.0,0.19220099505886823,0.3416708165611837,-7.926241506076682,-6.027627845551359,Tail-dependent
